"","table_no","p_value","ID","species","nurse_p","nurse_a","bare_p","bare_a"
"1366",1366,0.217043907756942,"200","Ptycholobium biflorum",5,20,10,15
"1367",1367,0.376759117811582,"200","Aristida meridionalis",7,18,11,14
"1368",1368,1,"200","Cyperus margaritaceus",5,20,5,20
"1369",1369,1,"200","Tricliceras schinzii",2,23,3,22
"1370",1370,0.0804381192088296,"200","Merremia tridentata",6,19,13,12
"1371",1371,0.0204530373828016,"200","Mundulea sericea",10,15,2,23
"1372",1372,0.000640298032161445,"200","Rhynchosia totta",11,14,0,25
"1373",1373,0.34577858615116,"200","Ochna pulchra",4,21,1,24
"1374",1374,0.00458639208025349,"200","Baphia massaiensis",12,13,2,23
"1375",1375,1,"200","Asparagus nelsii",3,22,3,22
"1376",1376,1.78238304084333e-06,"200","Commiphora angolensis",17,8,0,25
"1377",1377,1,"200","Grewia flavescens",1,24,0,25
"1378",1378,0.663421515816855,"200","Albuca fleckii",4,21,2,23
"1379",1379,1,"200","Eragrostis pallens",3,22,3,22
"1380",1380,0.233660388894587,"200","Ozoroa schinzii",3,22,0,25
"1381",1381,1,"200","Pavonia clathrata",1,24,0,25
"1382",1382,0.34577858615116,"200","Schmidtia pappophoroides",4,21,1,24
"1383",1383,1,"200","Dichrostachys cinerea",2,23,1,24
"1384",1384,1,"200","Commelina benghalensis",1,24,0,25
"1385",1385,1,"200","Acacia fleckii",2,23,1,24
"1386",1386,1,"200","Duvalia polita",1,24,0,25
"1387",1387,1,"200","Asparagus sp.",0,25,1,24
"1388",1388,1,"200","Combretum indet.",0,25,1,24
"1389",1389,1,"200","Sida cordifolia",1,24,0,25
"1390",1390,0.117850895021366,"200","Chamaecrista biensis",0,25,4,21
"1391",1391,1,"200","Geophyt indet.",1,24,0,25
"1392",1392,1,"200","Combretum engleri",1,24,0,25
"1393",1393,0.519040028515736,"201","Digitaria seriata",20,5,17,8
"1394",1394,1,"201","Stipagrostis uniplumis",20,5,21,4
"1395",1395,2.17582892555064e-05,"201","Baphia massaiensis",20,5,4,21
"1396",1396,1,"201","Combretum psidioides",1,24,0,25
"1397",1397,0.00172490312924079,"201","Merremia tridentata",5,20,17,8
"1398",1398,0.000530873924921623,"201","Commiphora angolensis",13,12,1,24
"1399",1399,0.191694602051888,"201","Baissea wulfhorstii",5,20,1,24
"1400",1400,4.22870255672508e-05,"201","Croton gratissimus",14,11,0,25
"1401",1401,0.0295574515601516,"201","Cyperus margaritaceus",6,19,0,25
"1402",1402,1.49023357924277e-05,"201","Rhynchosia totta",18,7,2,23
"1403",1403,0.117850895021366,"201","Combretum engleri",4,21,0,25
"1404",1404,0.47048642205879,"201","Terminalia sericea",0,25,2,23
"1405",1405,0.47048642205879,"201","Mundulea sericea",2,23,0,25
"1406",1406,0.550453012754493,"201","Aristida meridionalis",15,10,18,7
"1407",1407,0.233660388894587,"201","Eragrostis trichophora",0,25,3,22
"1408",1408,0.233660388894587,"201","Bauhinia petersiana",3,22,0,25
"1409",1409,1,"201","Ptycholobium biflorum",1,24,1,24
"1410",1410,0.0295574515601516,"201","Commelina africana",6,19,0,25
